symbol,side,entry,tp,sl,updates
FET,LONG,0.5925,0.6534 | 0.71,0.5595,Stops breakeven @Illusion Notif | Fet stops breakeven @Illusion Notif | Fet and floki both stops us be then went too moon not gonna put sl to breakeven too soon from now on sl or tp
SOL,LONG,148.15,163.9 | 200.0,139.3,
HYPE,LONG,15.86,16.737 | 17.955,14.959,
GRASS,SHORT,2.11,1.9524 | 1.8161 | 1.5982,2.2148,
HBAR,LONG,0.19475,0.224 | 0.2539,0.179,
AAVE,LONG,181.575,193.0 | 218.0,172.6,"Tp 1.272-1.352-1.670 | Rez 3% up booking tp1 and stops breakeven @Illusion Notif | Stops breakeven on both @Illusion Notif | Rune tp1 smashed @Illusion Notif | Aave tp1 smashed @Illusion Notif | Hbar 1R up 9% up tp1 taken here @Illusion Notif

1 like for next killer tradw"
ADA,LONG,0.62765,0.7564 | 1.0389,0.5778,
TIA,LONG,2.7335,3.009 | 3.247 | 4.51,2.55,"Another snipe
Ada filled and up almost 1R put stops breakeven @Illusion Notif | Ada more than 1R up so book tp1 @Illusion Notif | Up 10% stops breakeven @Illusion Notif 1R ❤️"
PEPE,SHORT,6398.0,5872.0 | 4994.0 | 4122.0,6857.0,"Apt longed here looks good 
Entry 5.15-5.06 
Sl 4.92 
Tp green lines above 
@Illusion Notif"
CRV,LONG,0.397,0.438 | 0.497,0.3736,Crv stops breakeven @Illusion Notif | Crv 6% up from avg entry 1R done can book some tp here @Illusion Notif
THETA,LONG,0.8939,1.0 | 1.18,0.8382,"Close theta be no volume @Illusion Notif
Crv running tp1 taken yesterday breakeven or full tp now | Crv tp smashed like for next killer @Illusion Notif | Slf 17% up from avg entry kindly move stops at entry and book tp 1 , 1.6R @Illusion Notif"
PYTH,LONG,0.1675,0.2,0.157,
ADA,LONG,0.748,0.813 | 0.87 | 0.933,0.7163,crv full tp smashed 31% up @Illusion Notif
ETH,LONG,1831.0,2004.0 | 2300.0,1750.0,
SOL,LONG,126.4,134.0 | 142.0,121.6,"Good morning didnt share new setup as we had 3 running setups
And they are still running
Will share new one after we got tp or sl on them | Sol 1R up stops breakeven @Illusion Notif | Eth 3% up stops breakeven @Illusion Notif | After 1R u can wait for tp or book profit whenever u think its good to do ❤️"
AAVE,LONG,165.0,174.65 | 205.0,160.4,Eth more than 1R up tp 1 taken here @Illusion Notif
TST,LONG,0.696,0.73 | 0.83,0.661,
VANRY,LONG,0.02639,0.029 | 0.031,0.02555,3% bounce vanry from entry almost 1R put stops breakeven after 1R is done you can start to book profits @Illusion Notif | And tst closing breakeven shitcoin still at entry @Illusion Notif
BTC,SHORT,83700.0,82600.0 | 81300.0 | 78200.0,84600.0,"Btc tp1 smashed @Illusion Notif
#「💸arena-testimonials」 | Btc tp2
Smashed @Illusion Notif | Sol eth aave vanry and btc we are on a 5 tp streak"
MKR,LONG,1236.0,1350.0 | 1599.0,1200.0,"mkr 1R up overnight still running put your stops breakeven @Illusion Notif
Ready for next killer"
DOGE,SHORT,0.1641,0.16024 | 0.15526 | 0.149,0.1684,"Doge tp1 smashed stops breakeven @Illusion Notif
Onto next one 🙂‍↔️
Be ready
#「💸arena-testimonials」"
SUI,LONG,2.2376,2.3624 | 2.5491 | 2.82,2.153,
ADA,LONG,0.65585,0.6941 | 0.7669,0.628,"Sui sl smashed @Illusion Notif
7 tp winning streak broke
Onto next | Link 16% up from our avg entry stops breakeven and tp1 taken 1.6R done @Illusion Notif | Ondo filled and up 28% from our avg entry tp1 taken here 2R done stops breakeven @Illusion Notif"
ENA,LONG,0.2865,0.33 | 0.4,0.265,
MKR,LONG,1316.5,1445.0 | 1796.0,1245.0,
LINK,SHORT,12.565,12.033 | 11.547 | 10.0,13.015,
SAND,LONG,0.2677,0.2763 | 0.297,0.2591,Sand stops breakeven @Illusion Notif | Sand tp 1 smashed @Illusion Notif
SLF,LONG,0.2146,0.223 | 0.2475,0.2077,
TRB,LONG,26.6,28.8 | 31.3,25.7,
GLM,SHORT,0.2594,0.24 | 0.2,0.2703,
ETH,LONG,1786.5,1953.0 | 2100.0,1745.0,"1R up eth stops breakeven crazzzyy @Illusion Notif
U can book profits whenever u want after 1R"
ENA,LONG,0.3368,0.357 | 0.388,0.3213,
PENDLE,LONG,3.2488,3.56,3.1087,"Sand full tp
Smashed @Illusion Notif | Ena tp1 smashed 2R done @Illusion Notif"
AAVE,LONG,167.9,182.0 | 203.0,157.3,
ARB,LONG,0.338,0.372 | 0.427,0.3187,
VANA,LONG,5.9,6.7 | 8.45,5.397,Vana 5% up stops breakeven @Illusion Notif
HBAR,LONG,0.1894,0.208 | 0.233,0.1828,"Trump risky scalp risk very very less 
Entry  13.200
Sl 12.848
Tp 17.9
Again this is very high risky trade if you are taking risk very less
@Illusion Notif | More than 1R up put stops be take tp1 @Illusion Notif
Some important works need to be done will see ya tomorrow | Vana 1R up took tp1 here #「💸arena-testimonials」 @Illusion Notif | Arb 1R up took tp1 #「💸arena-testimonials」 @Illusion Notif"
SOL,LONG,149.15,154.3 | 161.0 | 179.0,145.36,
AR,LONG,6.953,7.455 | 8.9,6.642,"Stopped out ar really bad timing on it still in good profit for the week we had 6 tp streak last week will kill this one for sure no worries @Illusion Notif | Vanry 1R + up from our avg entry tp 1 taken here #「💸arena-testimonials」 @Illusion Notif
Like for next killer"
AXS,LONG,2.572,3.08,2.465,
AAVE,LONG,175.8,181.39 | 189.0 | 204.0,170.5,"2 sl smashed i guess we are in a loop 2 sl streak then 5-6 tp streak then again repeat @Illusion Notif
Anyway new trade droppin soon"
DOGE,LONG,0.1425,0.158 | 0.175,0.136,
TIA,LONG,2.384,2.537 | 3.227,2.259,
FART,LONG,0.9565,1.0144 | 1.2134,0.9118,"Fart coin tp1 smasmed @Illusion Notif
2R | Tia stops breakeven @Illusion Notif | Tia 1R + up tp 1 taken @Illusion Notif
#「💸arena-testimonials」
As tia both entry filled
It should 1R+
And 0.03 away from tp1"
AVAX,LONG,21.68,22.2 | 23.0 | 25.9,21.109,"2 sl -2R
Tia  5R
Fartcoin full tp 5R 
Avax 1R up running | Tp1 @Illusion Notif ❤️ | Tp 0.01956-0.0228 | 1R up stops breakeven @Illusion Notif
#「💸arena-testimonials」
Getting ready for next one | Avax tp2 smashed @Illusion Notif
Another 4.5R smashed | Gala tp1 smashed @Illusion Notif

#「💸arena-testimonials」 | Again same loop 2 sl and 5 tp😭
I hope i will break this curse this time
Praying 🙏"
APT,LONG,5.4835,6.578 | 7.7,5.223,Apt 4% up stops breakeven @Illusion Notif | Tia full tp @Illusion Notif
LDO,LONG,1.0915,1.1778 | 1.466,1.0328,"Apt tp1 aken almost 2R @Illusion Notif
Ldo stops at entry @Illusion Notif
Good morning ❤️❤️❤️
Getting ready for next one | Gala full tp smashed @Illusion Notif | Avax full tp smashed @Illusion Notif"
SOL,SHORT,179.0,160.0,186.22,"First tp at 171.76 1R there @Illusion Notif | Sol tp1 here @Illusion Notif
#「💸arena-testimonials」 if you have taken"
ARB,LONG,0.4379,0.459 | 0.5033 | 0.6558,0.4123,
DOGE,SHORT,0.237,0.2217 | 0.2 | 0.174,0.24969,
PENGU,LONG,0.0167,0.0178 | 0.0197 | 0.0248,0.01577,"1R up tp1 taken here #「💸arena-testimonials」 share your pnls and new trade within a hour @Illusion Notif | Tp hit within 15 min lol
https://tenor.com/view/shark-finding-nemo-bruce-grin-grinning-gif-27437427 | Doge more than 1R from entry tp1 taken @Illusion Notif"
ORCA,LONG,2.644,2.816 | 2.916 | 3.18,2.561,"Tp edited | Orca 1R up can take tp1 here and stops entry @Illusion Notif
#「💸arena-testimonials」 must"
AAVE,SHORT,224.7,204.0 | 181.0,236.25,"Okk that was 12 tp streak
Next target 20 tp streak | Entry 3.895-3.795
Sl  3.68
Tp 4.1172-4.698 | Took another L in sui  curse still in loop 2 sl streak after 11 tp onto next one @Illusion Notif"
PENGU,LONG,0.01218,0.013 | 0.0145,0.0118,Tp1 taken here @Illusion Notif
DOGE,LONG,0.22316,0.23956 | 0.309,0.21,"Took tp1 in doge onto next one @Illusion Notif | Tao limit long entry 380-378
Sl 362.4 
Tp manual 
@Illusion Notif"
SOL,LONG,161.5,179.0,158.48,"Trade update last week 
Axs long sl -1R
Aave long sl -1R 
Tia long full tp 6R
Fartcoin full tp 6R
Avax long trade full tp 10R
Gala long full tp 5R
Apt tp1 2R
Ldo long stopped be 
Sol short trade tp1 1R
Atom long close be
Arb long close be 
Doge short trade tp1 1R
Pengu long 1R
Orca long tp1 1R
Aave short sl hit -1R
Sui long sl hit -1R
Pengu long tp1 5R
Doge long tp1 1R

Total trade. 18
Sl 4 
Be 3
Tp 11 

Profit 35R


@Illusion Notif | 1R+ up tp1 taken here @Illusion Notif | Ton long trade 
Entry 2.990-936
Sl 2.837
Tp manual 
@Illusion Notif"
PEPE,LONG,13576.0,14865.0,12982.0,
FWOG,LONG,0.08478,0.09286,0.08044,"Flood the #「💸arena-testimonials」 pnls when it will smash tp ❤️ | Pepe 3% up move pepe sl to 13244  now only 2.5% sl @Illusion Notif  not putting at breakeven as its might hunt be

Got it?? | Dyamn Fwog tp1 smashed @Illusion Notif | Wake up smash tp and go to sleep
Daily routine | Pepe more than 1R up put stops at entry tp1 taken @Illusion Notif
#「💸arena-testimonials」
Done for the day
Good night ❤️"
STX,LONG,0.973,1.0393 | 1.9271,0.92,"After tp flood #「💸arena-testimonials」 with pnls and you will get next setup right after it
For now hitting gym | Hello guys fwog sl smashed my bad jumped in early onto next one -1R we had 7 tp streak before that @Illusion Notif"
SHIB,LONG,1.41e-05,1.463e-05 | 1.8e-05,1.365e-05,Stops breakeven @Illusion Notif | Shib tp1 smashed @Illusion Notif
FART,LONG,1.43,1.5647 | 1.75,1.3422,
SUI,LONG,3.3907,3.656 | 3.98,3.2276,
PYTH,LONG,0.1363,0.146 | 0.2257,0.1278,
GOAT,LONG,0.1575,0.169,0.149,
LTC,LONG,96.65,106.3 | 118.0,92.75,"Doing some backtesting and improving myself always been my part of journey from day one
Sl hit on this one
3 sl streak time for bring back the tp streak"
WLD,LONG,1.1925,1.36 | 1.82,1.09,"May trade update



Axs long sl -1R
Aave long sl -1R 
Tia long full tp 6R
Fartcoin full tp 6R
Avax long trade full tp 10R
Gala long full tp 5R
Apt tp1 2R
Ldo long stopped be 
Sol short trade tp1 1R
Atom long close be
Arb long close be 
Doge short trade tp1 1R
Pengu long 1R
Orca long tp1 1R
Aave short sl hit -1R
Sui long sl hit -1R
Pengu long tp1 5R
Doge long tp1 1R
Sol tp1 3R full profit booked 
Ton closed be 
Fwog tp1 2R
Pepe tp1 1R
Stx closed be 
Shib tp1 1R
Fart coin sl -1R
Pyth closed be 
Goat sl -1R
Hype sl -1R
Wld long sl -1R


Total trade  29
Sl 8 
Be 6 

Profit 38R 



Done n dusted may onto next month i know last days were hard but you know how we finished overall this month ❤️

@Illusion Notif"
BONK,SHORT,0.0177,0.015482 | 0.0115,0.019,
SEI,LONG,0.19715,0.2585,0.1857,
ETHFI,LONG,1.2085,1.4333 | 1.86,1.1159,
LTC,LONG,87.7,96.4 | 119.0,82.85,
NEAR,LONG,2.4725,2.6 | 3.0,2.367,
BONK,LONG,0.01514,0.017 | 0.02,0.0143,20/20 tp  coming 🤧
STX,LONG,0.5766,0.6496 | 0.7147 | 0.7888,0.545,
UNI,SHORT,6.107,5.489 | 4.745,6.504,
AAVE,SHORT,252.5,227.59 | 199.0,267.5,"Bome short trade @Illusion Notif
Entry 0.001811-0.00183

Sl 0.001963
Tp"
SAGA,LONG,0.31,0.3515,0.2957,
SUI,LONG,3.3886,3.936,3.1748,
ETH,LONG,2770.0,2796.0 | 2832.0 | 2888.0,2744.0,"1R up stops be and tp1 @Illusion Notif
Sorry tp1 smashed
Will share more scalps in coming days
Based on small time frame
Finally first tp of the month"
LINK,LONG,15.05,17.387 | 20.656,14.08,"Closing all my setups here breakeven sui in small profit except btc short  is still running @Illusion Notif  will start fresh tomorrow
No need of holding too much setups at one | Btc idea will book full tp on btc short on box below @Illusion Notif"
ETH,SHORT,2821.0,2690.0 | 2550.0,2878.0,"You can take first tp at 2733 | Eth stops breakeven @Illusion Notif | Good one
Book tp as per your wish 1R down | Good we closed our longs on time will make decision this time as quick as possible based on the pa lots of trade gonna be closed at entry but the ones we will hold will smash tp | Eigen Limit swing trade spot / low lev
Entry 1.483-1.4434
Sl 1.3365 daily close below 
Tp 2.33- 5.6 

@Illusion Notif 

Better try it spot or low leverage 2/3x only | Rate this setup 2R taking tp1 here @Illusion Notif
#「💸arena-testimonials」 | Btc short stops breakeven @Illusion Notif
Good morning guys scanning new setups"
RENDER,LONG,3.471,4.0 | 4.0,3.332,Btc 1R down booked full tp here @Illusion Notif
BTC,LONG,106010.0,112000.0,104300.0,
LDO,LONG,0.8815,0.988 | 1.174,0.82,"Remember no blind short at 112k will wait for proper trigger deviation for it i will share no worries
eth short tp smashed @Illusion Notif | Why crying i told to book tp at 2733"
LINK,LONG,13.288,13.8,13.0,
JASMY,LONG,0.01337,0.0147,0.012638,
FARTCOIN,LONG,1.21,1.2514 | 1.297 | 1.44,1.1723,Tp edited
AAVE,LONG,276.7,291.03 | 323.41 | 372.0,261.89,
SYRUP,LONG,0.47,0.491 | 0.535,0.455,"1R up stops at entry @Illusion Notif
You can book tp 1 whenever you want after 1R | Syrup tp1 smashed  1.5R @Illusion Notif | Done for the day ending the day with profit aave running and syrup booked some remaining be or full tp | Will book full tp of syrup at 0.512 3R there @Illusion Notif | Syrup full tp zmShed @Illusion Notif | Tp1 taken here on aave #「💸arena-testimonials」 @Illusion Notif"
LINK,LONG,13.63,15.124 | 17.494,12.93,Link going good hope i wake up next day on tp
WIF,LONG,0.886,1.0 | 1.211,0.835,
POPCAT,LONG,0.314,0.344 | 0.38 | 0.68,0.2929,
AVAX,SHORT,18.423,14.341,19.371,"Stops breakeven @Illusion Notif
Lets begin 🐐
@Illusion Notif"
PEPE,LONG,9.72e-06,1.045e-05 | 1.134e-05,9.39e-06,
SOL,LONG,174.5,200.0 | 260.0,162.0,
ETH,LONG,2730.0,3023.0 | 3514.0,2630.0,
SUI,LONG,3.1775,3.668 | 5.358,2.9163,5% up stops breakeven @Illusion Notif
LTC,LONG,126.0,147.0 | 214.0,119.0,"Sui tp 1 taken here 1.2R @Illusion Notif
#「💸arena-testimonials」 | Ltc 1R ++ up take tp1 and move stops breakeven @Illusion Notif"
ORDI,LONG,13.078,14.39 | 15.8 | 17.1,12.38,"Move stops be😎 hehe @Illusion Notif
Ordi Tp1 smashed hehe @Illusion Notif"
ETH,SHORT,2680.0,2600.0 | 2500.0 | 2350.0,2720.0,"1R down  take tp1 move stops be good night lads ❤️ @Illusion Notif
#「💸arena-testimonials」 ❤️"
FET,LONG,0.7783,0.836 | 1.0365,0.75,"Fet sl smashed @Illusion Notif 
Anyway we had 4 back to back tp previously we move on to next setup"
ETH,SHORT,2832.5,2698.0 | 2495.0 | 2300.0,2930.0,Stops breakeven lads @Illusion Notif | Anyway eth tp 1 smashed @Illusion Notif
XRP,SHORT,2.562,2.33 | 2.25 | 2.0,2.675,
ENA,LONG,0.40425,0.4347 | 0.507,0.384,
BTC,LONG,87750.0,98300.0 | 108300.0,84200.0,
INJ,LONG,13.5,14.5 | 16.2,12.8,
HYPE,LONG,19.85,22.8 | 25.4,18.0,@Illusion Notif hype 5% up from our avg entry so put stops breakeven ❤️
TAO,SHORT,362.0,312.6 | 272.0,383.0,Stops breakeven @Illusion Notif | 1r down take tp1 @Illusion Notif
BTC,LONG,72.25,89.2 | 110.0 | 120.0,66.7,
BTC,SHORT,80.3,78.3 | 73.9 | 70.0,81.6,"Entry 2.35-2.395
Sl 2.4687
Tp 2.2137-1.9090 | Tp manual
I will update when to close"
FLOKI,LONG,0.07175,0.0792 | 0.0837 | 0.09627,0.0663,
FET,LONG,0.5925,0.6534 | 0.71,0.5595,Stops breakeven @Illusion Notif | Fet stops breakeven @Illusion Notif | Fet and floki both stops us be then went too moon not gonna put sl to breakeven too soon from now on sl or tp
SOL,LONG,148.15,163.9 | 200.0,139.3,
HYPE,LONG,15.86,16.737 | 17.955,14.959,
GRASS,SHORT,2.11,1.9524 | 1.8161 | 1.5982,2.2148,
HBAR,LONG,0.19475,0.224 | 0.2539,0.179,
AAVE,LONG,181.575,193.0 | 218.0,172.6,"Tp 1.272-1.352-1.670 | Rez 3% up booking tp1 and stops breakeven @Illusion Notif | Stops breakeven on both @Illusion Notif | Rune tp1 smashed @Illusion Notif | Aave tp1 smashed @Illusion Notif | Hbar 1R up 9% up tp1 taken here @Illusion Notif

1 like for next killer tradw"
ADA,LONG,0.62765,0.7564 | 1.0389,0.5778,
TIA,LONG,2.7335,3.009 | 3.247 | 4.51,2.55,"Another snipe
Ada filled and up almost 1R put stops breakeven @Illusion Notif | Ada more than 1R up so book tp1 @Illusion Notif | Up 10% stops breakeven @Illusion Notif 1R ❤️"
PEPE,SHORT,6398.0,5872.0 | 4994.0 | 4122.0,6857.0,"Apt longed here looks good 
Entry 5.15-5.06 
Sl 4.92 
Tp green lines above 
@Illusion Notif"
CRV,LONG,0.397,0.438 | 0.497,0.3736,Crv stops breakeven @Illusion Notif | Crv 6% up from avg entry 1R done can book some tp here @Illusion Notif
THETA,LONG,0.8939,1.0 | 1.18,0.8382,"Close theta be no volume @Illusion Notif
Crv running tp1 taken yesterday breakeven or full tp now | Crv tp smashed like for next killer @Illusion Notif | Slf 17% up from avg entry kindly move stops at entry and book tp 1 , 1.6R @Illusion Notif"
PYTH,LONG,0.1675,0.2,0.157,
ADA,LONG,0.748,0.813 | 0.87 | 0.933,0.7163,crv full tp smashed 31% up @Illusion Notif
ETH,LONG,1831.0,2004.0 | 2300.0,1750.0,
SOL,LONG,126.4,134.0 | 142.0,121.6,"Good morning didnt share new setup as we had 3 running setups
And they are still running
Will share new one after we got tp or sl on them | Sol 1R up stops breakeven @Illusion Notif | Eth 3% up stops breakeven @Illusion Notif | After 1R u can wait for tp or book profit whenever u think its good to do ❤️"
AAVE,LONG,165.0,174.65 | 205.0,160.4,Eth more than 1R up tp 1 taken here @Illusion Notif
TST,LONG,0.696,0.73 | 0.83,0.661,
VANRY,LONG,0.02639,0.029 | 0.031,0.02555,3% bounce vanry from entry almost 1R put stops breakeven after 1R is done you can start to book profits @Illusion Notif | And tst closing breakeven shitcoin still at entry @Illusion Notif
BTC,SHORT,83700.0,82600.0 | 81300.0 | 78200.0,84600.0,"Btc tp1 smashed @Illusion Notif
#「💸arena-testimonials」 | Btc tp2
Smashed @Illusion Notif | Sol eth aave vanry and btc we are on a 5 tp streak"
MKR,LONG,1236.0,1350.0 | 1599.0,1200.0,"mkr 1R up overnight still running put your stops breakeven @Illusion Notif
Ready for next killer"
DOGE,SHORT,0.1641,0.16024 | 0.15526 | 0.149,0.1684,"Doge tp1 smashed stops breakeven @Illusion Notif
Onto next one 🙂‍↔️
Be ready
#「💸arena-testimonials」"
SUI,LONG,2.2376,2.3624 | 2.5491 | 2.82,2.153,
ADA,LONG,0.65585,0.6941 | 0.7669,0.628,"Sui sl smashed @Illusion Notif
7 tp winning streak broke
Onto next | Link 16% up from our avg entry stops breakeven and tp1 taken 1.6R done @Illusion Notif | Ondo filled and up 28% from our avg entry tp1 taken here 2R done stops breakeven @Illusion Notif"
ENA,LONG,0.2865,0.33 | 0.4,0.265,
MKR,LONG,1316.5,1445.0 | 1796.0,1245.0,
LINK,SHORT,12.565,12.033 | 11.547 | 10.0,13.015,
SAND,LONG,0.2677,0.2763 | 0.297,0.2591,Sand stops breakeven @Illusion Notif | Sand tp 1 smashed @Illusion Notif
SLF,LONG,0.2146,0.223 | 0.2475,0.2077,
TRB,LONG,26.6,28.8 | 31.3,25.7,
GLM,SHORT,0.2594,0.24 | 0.2,0.2703,
ETH,LONG,1786.5,1953.0 | 2100.0,1745.0,"1R up eth stops breakeven crazzzyy @Illusion Notif
U can book profits whenever u want after 1R"
ENA,LONG,0.3368,0.357 | 0.388,0.3213,
PENDLE,LONG,3.2488,3.56,3.1087,"Sand full tp
Smashed @Illusion Notif | Ena tp1 smashed 2R done @Illusion Notif"
AAVE,LONG,167.9,182.0 | 203.0,157.3,
ARB,LONG,0.338,0.372 | 0.427,0.3187,
VANA,LONG,5.9,6.7 | 8.45,5.397,Vana 5% up stops breakeven @Illusion Notif
HBAR,LONG,0.1894,0.208 | 0.233,0.1828,"Trump risky scalp risk very very less 
Entry  13.200
Sl 12.848
Tp 17.9
Again this is very high risky trade if you are taking risk very less
@Illusion Notif | More than 1R up put stops be take tp1 @Illusion Notif
Some important works need to be done will see ya tomorrow | Vana 1R up took tp1 here #「💸arena-testimonials」 @Illusion Notif | Arb 1R up took tp1 #「💸arena-testimonials」 @Illusion Notif"
SOL,LONG,149.15,154.3 | 161.0 | 179.0,145.36,
AR,LONG,6.953,7.455 | 8.9,6.642,"Stopped out ar really bad timing on it still in good profit for the week we had 6 tp streak last week will kill this one for sure no worries @Illusion Notif | Vanry 1R + up from our avg entry tp 1 taken here #「💸arena-testimonials」 @Illusion Notif
Like for next killer"
AXS,LONG,2.572,3.08,2.465,
AAVE,LONG,175.8,181.39 | 189.0 | 204.0,170.5,"2 sl smashed i guess we are in a loop 2 sl streak then 5-6 tp streak then again repeat @Illusion Notif
Anyway new trade droppin soon"
DOGE,LONG,0.1425,0.158 | 0.175,0.136,
TIA,LONG,2.384,2.537 | 3.227,2.259,
FART,LONG,0.9565,1.0144 | 1.2134,0.9118,"Fart coin tp1 smasmed @Illusion Notif
2R | Tia stops breakeven @Illusion Notif | Tia 1R + up tp 1 taken @Illusion Notif
#「💸arena-testimonials」
As tia both entry filled
It should 1R+
And 0.03 away from tp1"
AVAX,LONG,21.68,22.2 | 23.0 | 25.9,21.109,"2 sl -2R
Tia  5R
Fartcoin full tp 5R 
Avax 1R up running | Tp1 @Illusion Notif ❤️ | Tp 0.01956-0.0228 | 1R up stops breakeven @Illusion Notif
#「💸arena-testimonials」
Getting ready for next one | Avax tp2 smashed @Illusion Notif
Another 4.5R smashed | Gala tp1 smashed @Illusion Notif

#「💸arena-testimonials」 | Again same loop 2 sl and 5 tp😭
I hope i will break this curse this time
Praying 🙏"
APT,LONG,5.4835,6.578 | 7.7,5.223,Apt 4% up stops breakeven @Illusion Notif | Tia full tp @Illusion Notif
LDO,LONG,1.0915,1.1778 | 1.466,1.0328,"Apt tp1 aken almost 2R @Illusion Notif
Ldo stops at entry @Illusion Notif
Good morning ❤️❤️❤️
Getting ready for next one | Gala full tp smashed @Illusion Notif | Avax full tp smashed @Illusion Notif"
SOL,SHORT,179.0,160.0,186.22,"First tp at 171.76 1R there @Illusion Notif | Sol tp1 here @Illusion Notif
#「💸arena-testimonials」 if you have taken"
ARB,LONG,0.4379,0.459 | 0.5033 | 0.6558,0.4123,
DOGE,SHORT,0.237,0.2217 | 0.2 | 0.174,0.24969,
PENGU,LONG,0.0167,0.0178 | 0.0197 | 0.0248,0.01577,"1R up tp1 taken here #「💸arena-testimonials」 share your pnls and new trade within a hour @Illusion Notif | Tp hit within 15 min lol
https://tenor.com/view/shark-finding-nemo-bruce-grin-grinning-gif-27437427 | Doge more than 1R from entry tp1 taken @Illusion Notif"
ORCA,LONG,2.644,2.816 | 2.916 | 3.18,2.561,"Tp edited | Orca 1R up can take tp1 here and stops entry @Illusion Notif
#「💸arena-testimonials」 must"
AAVE,SHORT,224.7,204.0 | 181.0,236.25,"Okk that was 12 tp streak
Next target 20 tp streak | Entry 3.895-3.795
Sl  3.68
Tp 4.1172-4.698 | Took another L in sui  curse still in loop 2 sl streak after 11 tp onto next one @Illusion Notif"
PENGU,LONG,0.01218,0.013 | 0.0145,0.0118,Tp1 taken here @Illusion Notif
DOGE,LONG,0.22316,0.23956 | 0.309,0.21,"Took tp1 in doge onto next one @Illusion Notif | Tao limit long entry 380-378
Sl 362.4 
Tp manual 
@Illusion Notif"
SOL,LONG,161.5,179.0,158.48,"Trade update last week 
Axs long sl -1R
Aave long sl -1R 
Tia long full tp 6R
Fartcoin full tp 6R
Avax long trade full tp 10R
Gala long full tp 5R
Apt tp1 2R
Ldo long stopped be 
Sol short trade tp1 1R
Atom long close be
Arb long close be 
Doge short trade tp1 1R
Pengu long 1R
Orca long tp1 1R
Aave short sl hit -1R
Sui long sl hit -1R
Pengu long tp1 5R
Doge long tp1 1R

Total trade. 18
Sl 4 
Be 3
Tp 11 

Profit 35R


@Illusion Notif | 1R+ up tp1 taken here @Illusion Notif | Ton long trade 
Entry 2.990-936
Sl 2.837
Tp manual 
@Illusion Notif"
PEPE,LONG,13576.0,14865.0,12982.0,
FWOG,LONG,0.08478,0.09286,0.08044,"Flood the #「💸arena-testimonials」 pnls when it will smash tp ❤️ | Pepe 3% up move pepe sl to 13244  now only 2.5% sl @Illusion Notif  not putting at breakeven as its might hunt be

Got it?? | Dyamn Fwog tp1 smashed @Illusion Notif | Wake up smash tp and go to sleep
Daily routine | Pepe more than 1R up put stops at entry tp1 taken @Illusion Notif
#「💸arena-testimonials」
Done for the day
Good night ❤️"
STX,LONG,0.973,1.0393 | 1.9271,0.92,"After tp flood #「💸arena-testimonials」 with pnls and you will get next setup right after it
For now hitting gym | Hello guys fwog sl smashed my bad jumped in early onto next one -1R we had 7 tp streak before that @Illusion Notif"
SHIB,LONG,1.41e-05,1.463e-05 | 1.8e-05,1.365e-05,Stops breakeven @Illusion Notif | Shib tp1 smashed @Illusion Notif
FART,LONG,1.43,1.5647 | 1.75,1.3422,
SUI,LONG,3.3907,3.656 | 3.98,3.2276,
PYTH,LONG,0.1363,0.146 | 0.2257,0.1278,
GOAT,LONG,0.1575,0.169,0.149,
LTC,LONG,96.65,106.3 | 118.0,92.75,"Doing some backtesting and improving myself always been my part of journey from day one
Sl hit on this one
3 sl streak time for bring back the tp streak"
WLD,LONG,1.1925,1.36 | 1.82,1.09,"May trade update



Axs long sl -1R
Aave long sl -1R 
Tia long full tp 6R
Fartcoin full tp 6R
Avax long trade full tp 10R
Gala long full tp 5R
Apt tp1 2R
Ldo long stopped be 
Sol short trade tp1 1R
Atom long close be
Arb long close be 
Doge short trade tp1 1R
Pengu long 1R
Orca long tp1 1R
Aave short sl hit -1R
Sui long sl hit -1R
Pengu long tp1 5R
Doge long tp1 1R
Sol tp1 3R full profit booked 
Ton closed be 
Fwog tp1 2R
Pepe tp1 1R
Stx closed be 
Shib tp1 1R
Fart coin sl -1R
Pyth closed be 
Goat sl -1R
Hype sl -1R
Wld long sl -1R


Total trade  29
Sl 8 
Be 6 

Profit 38R 



Done n dusted may onto next month i know last days were hard but you know how we finished overall this month ❤️

@Illusion Notif"
BONK,SHORT,0.0177,0.015482 | 0.0115,0.019,
SEI,LONG,0.19715,0.2585,0.1857,
ETHFI,LONG,1.2085,1.4333 | 1.86,1.1159,
LTC,LONG,87.7,96.4 | 119.0,82.85,
NEAR,LONG,2.4725,2.6 | 3.0,2.367,
BONK,LONG,0.01514,0.017 | 0.02,0.0143,20/20 tp  coming 🤧
STX,LONG,0.5766,0.6496 | 0.7147 | 0.7888,0.545,
UNI,SHORT,6.107,5.489 | 4.745,6.504,
AAVE,SHORT,252.5,227.59 | 199.0,267.5,"Bome short trade @Illusion Notif
Entry 0.001811-0.00183

Sl 0.001963
Tp"
SAGA,LONG,0.31,0.3515,0.2957,
SUI,LONG,3.3886,3.936,3.1748,
ETH,LONG,2770.0,2796.0 | 2832.0 | 2888.0,2744.0,"1R up stops be and tp1 @Illusion Notif
Sorry tp1 smashed
Will share more scalps in coming days
Based on small time frame
Finally first tp of the month"
LINK,LONG,15.05,17.387 | 20.656,14.08,"Closing all my setups here breakeven sui in small profit except btc short  is still running @Illusion Notif  will start fresh tomorrow
No need of holding too much setups at one | Btc idea will book full tp on btc short on box below @Illusion Notif"
